oid,noid,file,packageType,workflow_step,owner,title,description,status,date_created,date_modified,rules_oid
f2ece60cda211952d46edf6c68e916e5,,,dmpt,,u4vnW_zQ9IuCFRS8bp2vx15bsgY,,,invalid: Missing value for title; Missing value for dc:identifier; Missing value for contributor_data_manager,,,
,,,dmpt,,12wm_mlk49eaKyZt8EckoU0Ah9Q,,,invalid: No CI; Missing value for title; Missing value for dc:identifier; Missing value for contributor_ci; Missing value for contributor_data_manager,,,
1383a2e57a417e97a0f3b6612f480eec,,,dmpt,,admin,,,invalid: Missing value for title; Missing value for dc:identifier; Missing value for contributor_data_manager,,,
d950b4f6e6c4a7e6ea4dddfb3e74f20a,,,dmpt,,admin,,,invalid: Missing value for title; Missing value for dc:identifier; Missing value for contributor_data_manager,,,
ba737efec86ac74683d9989767a8f147,,,dmpt,,admin,,,invalid: Missing value for title; Missing value for dc:identifier; Missing value for contributor_data_manager,,,
eb699d67717c46eb5c7aff3f59d6fa42,,,dmpt,,HwiiZLkMsNokXOHyBCJoukWy9Fg,,,invalid: Missing value for title; Missing value for dc:identifier; Missing value for contributor_data_manager,,,
,,,dmpt,,admin,,,invalid: No CI; Missing value for title; Missing value for dc:identifier; Missing value for contributor_ci; Missing value for contributor_data_manager,,,
,,,dmpt,,hLauj__dzXjzA9Nsc2cpIIqAXFc,,,invalid: No CI; Missing value for title; Missing value for dc:identifier; Missing value for contributor_ci; Missing value for contributor_data_manager,,,
eaeca3b022b5dba95db758f58fa7ece6,7f6e529850fc6ed9164188f6f8feaf89,,dmpt,,4EKevXpPvAs-3Khk87PWyR8oG7A,PhD,,set: [object Object],,,
752d176d8b58eff27c4aab5b24aee41a,bd748795843507cfa36301e133ccf43f,,dmpt,,kb2w_mDlUV6qljHsEOyvsC4UjXQ,Cacao ecology,,set: [object Object],,,
,,,dmpt,,admin,,,invalid: No CI; Missing value for title; Missing value for dc:identifier; Missing value for contributor_ci; Missing value for contributor_data_manager,,,
fa4347ae9969f43da07684f9eca9dfa5,764ce68b30589c92ab4ef35ff816f89e,,dmpt,,19KRRy5ahcumkUCZnb_ODRBKuzo,"Parasite threats in the ornamental fish trade: detection, diversity and biosecurity",,set: [object Object],,,
b9db196dc7ee663342cc26892a6d550f,6fe49673d5e85797aac4989d3233e3ac,,dmpt,,J5OLiqmHekBzvWvZUQ2dsZC1fe4,Test (Paula B login for Clair) - delete later,,set: [object Object],,,
8829e4300fe2d5ec1cb11b934d48e057,,,dmpt,,tlM2aeU-ic27E_ydxOZF7_bCuYc,,,invalid: Missing value for title; Missing value for dc:identifier; Missing value for contributor_data_manager,,,
d1ce37c3f318f906c99a4934e1e1911f,f82a7449498685a2ad562d741f6edd16,,dmpt,,admin,Clair's test project,,set: [object Object],,,
,,,dmpt,,xCYTV4Nxl36QeSBd_oHb4XV9l7M,,,invalid: No CI; Missing value for title; Missing value for dc:identifier; Missing value for contributor_ci; Missing value for contributor_data_manager,,,
,,,dmpt,,admin,,,invalid: No CI; Missing value for title; Missing value for dc:identifier; Missing value for contributor_ci; Missing value for contributor_data_manager,,,
be59ac079944cea83756a7b4edf4ea0b,537d956ae47841f2ecca30f25bc008af,,dmpt,,admin,a,,set: [object Object],,,
66f87088aacfd4114f1f59af23b2f23c,,,dmpt,,dMpp7cPYQ6fgSp_PvHN98wfeL8c,fdg,,invalid: Missing value for contributor_data_manager,,,
,,,dmpt,,admin,,,invalid: No CI; Missing value for title; Missing value for dc:identifier; Missing value for contributor_ci; Missing value for contributor_data_manager,,,
87802f393e8501bcb50773331e309b92,,,dmpt,,tlM2aeU-ic27E_ydxOZF7_bCuYc,,,invalid: Missing value for title; Missing value for dc:identifier; Missing value for contributor_data_manager,,,
,,,dmpt,,v6YwlJsDtsse9G_uZQTG2ffSPiU,,,invalid: No CI; Missing value for title; Missing value for dc:identifier; Missing value for contributor_ci; Missing value for contributor_data_manager,,,
38623d6023b8907e38e0b852e9a25990,93e478c72b48630c4c022062c5031cf5,,dmpt,,fp_2lctIe4DLdYT1fHhhHdBLkIo,Home Ranges of Huon Tree Kangaroos,,set: [object Object],,,
06e17a8a9e106b5dddd84697fe169a0f,,,dmpt,,admin,,,invalid: Missing value for title; Missing value for dc:identifier; Missing value for contributor_data_manager,,,
ea70e64b1b9b7b76b7be660ad0b4e8f1,,,dmpt,,GdzSyEa5UNcWzB0IJulghLrDjTk,,,invalid: Missing value for title; Missing value for dc:identifier; Missing value for contributor_data_manager,,,
23b129178ba8a2596639919f9569a568,,,dmpt,,57OTCVXcvX2FiPJj43HEveCwoNw,,,invalid: Missing value for title; Missing value for dc:identifier; Missing value for contributor_data_manager,,,
,,,dmpt,,pfot0qyx-9-IWaTq2JsaxfCYepE,,,invalid: No CI; Missing value for title; Missing value for dc:identifier; Missing value for contributor_ci; Missing value for contributor_data_manager,,,
cb96510f36ad5b92db7dcae79ff60d94,,,dmpt,,admin,,,invalid: Missing value for title; Missing value for dc:identifier; Missing value for contributor_data_manager,,,
,,,dmpt,,admin,,,invalid: No CI; Missing value for title; Missing value for dc:identifier; Missing value for contributor_ci; Missing value for contributor_data_manager,,,
,,,dmpt,,MiDpHNCb0sPcvp2bCH0xG8p1aiU,,,invalid: No CI; Missing value for title; Missing value for dc:identifier; Missing value for contributor_ci; Missing value for contributor_data_manager,,,
,,,dmpt,,kb2w_mDlUV6qljHsEOyvsC4UjXQ,,,invalid: No CI; Missing value for title; Missing value for dc:identifier; Missing value for contributor_ci; Missing value for contributor_data_manager,,,
1c74e0aa7cb42ca716ef689c28caa110,4f2014c78dc82ab01465ede56631f346,,dmpt,,7f19anvyPz7l1D_GJYhzgYuSJ-I,Biology of Acanthaster solaris on GBR,,set: [object Object],,,
7504e142ea24e493d43b69d23c5fac1d,,,dmpt,,tlM2aeU-ic27E_ydxOZF7_bCuYc,,,invalid: Missing value for title; Missing value for dc:identifier; Missing value for contributor_data_manager,,,
5f799cf9b610e1d90d36e7d0abb23eb1,30bb352d715eb47b574a28e2c13ff517,,dmpt,,AsRk1EIxLIC9bKiD5fqqrC17gLQ,Searching for Pulsating Stars in the Gap between the SPB and Delta Scuti Domains through Machine Learning and Data Mining Techniques,,set: [object Object],,,
1936b1e645d5b5602dd607218c1e1c93,,,dmpt,,vda3Xu2rHSqG9bURLuK-GSJWKas,,,invalid: Missing value for title; Missing value for dc:identifier; Missing value for contributor_data_manager,,,
c52e49fe4dcf14dc346a5c97030cbf08,,,dmpt,,admin,,,invalid: Missing value for title; Missing value for dc:identifier; Missing value for contributor_data_manager,,,
,,,dmpt,,tlM2aeU-ic27E_ydxOZF7_bCuYc,,,invalid: No CI; Missing value for title; Missing value for dc:identifier; Missing value for contributor_ci; Missing value for contributor_data_manager,,,
,,,dmpt,,a6hLqo4Ex_caNTsRn2txz6gd1m8,,,invalid: No CI; Missing value for title; Missing value for dc:identifier; Missing value for contributor_ci; Missing value for contributor_data_manager,,,
a94b9470235f15031f03a195e4bc9735,,,dmpt,,HwiiZLkMsNokXOHyBCJoukWy9Fg,,,invalid: Missing value for title; Missing value for dc:identifier; Missing value for contributor_data_manager,,,
ba3114822261fae20e326d7b9104de09,85a213017185ca805e90dbd97d0b85ae,,dmpt,,pfot0qyx-9-IWaTq2JsaxfCYepE,Tropical macroalgae as a natural alternative for the mitigation of methane emissions in ruminant livestock systems,,set: [object Object],,,
584f0078d3ef82bbc1d3d1d4e7a1496a,,,dmpt,,hzpPW2jJwXDVX35j2iAsRWph9dw,,,invalid: Missing value for title; Missing value for dc:identifier; Missing value for contributor_data_manager,,,
,,,dmpt,,aC4A2p1Jn9zrWlPoNnWJ6_3XTiI,,,invalid: No CI; Missing value for title; Missing value for dc:identifier; Missing value for contributor_ci; Missing value for contributor_data_manager,,,
,,,dmpt,,VGKOQJsifedMh68KDO6akmZl1YM,,,invalid: No CI; Missing value for title; Missing value for dc:identifier; Missing value for contributor_ci; Missing value for contributor_data_manager,,,
e5277eadfc1087cc446153843c461e49,ef2d45052515fc11139874464c88fd4a,,dmpt,,iLyRnpksSMEYs4g23Mo5PuQ6mYg,IMPROVEMENT OF FORMULATED FEEDS AND FEEDING MANAGEMENT FOR REDCLAW AQUACULTURE IN AUSTRALIA,,set: [object Object],,,
,,,dmpt,,MiDpHNCb0sPcvp2bCH0xG8p1aiU,,,invalid: No CI; Missing value for title; Missing value for dc:identifier; Missing value for contributor_ci; Missing value for contributor_data_manager,,,
,,,dmpt,,admin,,,invalid: No CI; Missing value for title; Missing value for dc:identifier; Missing value for contributor_ci; Missing value for contributor_data_manager,,,
d9415172763b71d4edf026fb59ec8702,,,dmpt,,I4MxzqLWh7fGVEi5wCw0wg6TdX4,,,invalid: Missing value for title; Missing value for dc:identifier; Missing value for contributor_data_manager,,,
,,,dmpt,,admin,,,invalid: No CI; Missing value for title; Missing value for dc:identifier; Missing value for contributor_ci; Missing value for contributor_data_manager,,,
,,,dmpt,,admin,,,invalid: No CI; Missing value for title; Missing value for dc:identifier; Missing value for contributor_ci; Missing value for contributor_data_manager,,,
560846639f03d0785d88a7e6e0a5062d,,,dmpt,,98aYhQr1u2qfmFezWcP1hZ_mDGs,Impact of road infrastructure on livelihoods and land use in rural Ghana,,invalid: Missing value for contributor_data_manager,,,
f810d89c8251a79030cb6e312116570f,,,dmpt,,F9mEvG34ONP04fS3uaLS0VHqp3Q,,,invalid: Missing value for title; Missing value for dc:identifier; Missing value for contributor_data_manager,,,
b3c0d751a9e4844264b38683231b2005,,,dmpt,,admin,,,invalid: Missing value for title; Missing value for dc:identifier; Missing value for contributor_data_manager,,,
b10a77c717f8c10080dc54c04ca666d5,94115f729173c34746f4e4c8005fe50e,,dmpt,,K5r7bD3LLzIMHpKoIruFuGbHu3E,CFI-ERF data,,set: [object Object],,,
,,,dmpt,,2UkjLrab47be2w2eQdpT1DZSSv0,,,invalid: No CI; Missing value for title; Missing value for dc:identifier; Missing value for contributor_ci; Missing value for contributor_data_manager,,,
,,,dmpt,,2UkjLrab47be2w2eQdpT1DZSSv0,,,invalid: No CI; Missing value for title; Missing value for dc:identifier; Missing value for contributor_ci; Missing value for contributor_data_manager,,,
,,,dmpt,,12wm_mlk49eaKyZt8EckoU0Ah9Q,,,invalid: No CI; Missing value for title; Missing value for dc:identifier; Missing value for contributor_ci; Missing value for contributor_data_manager,,,
,,,dmpt,,MiDpHNCb0sPcvp2bCH0xG8p1aiU,,,invalid: No CI; Missing value for title; Missing value for dc:identifier; Missing value for contributor_ci; Missing value for contributor_data_manager,,,
,,,dmpt,,MiDpHNCb0sPcvp2bCH0xG8p1aiU,,,invalid: No CI; Missing value for title; Missing value for dc:identifier; Missing value for contributor_ci; Missing value for contributor_data_manager,,,
80da6266e22b1fbd31a86fb796ecdb9f,,,dmpt,,admin,,,invalid: Missing value for title; Missing value for dc:identifier; Missing value for contributor_data_manager,,,
a34bf3c7c2bb33c98a40c00bb17131fb,5cec81dd276200043d7cd9b60d60cee5,,dmpt,,WjvV7WCOS8_mWLX7kBlD1n70LtA,Self-Management of Diabetes by People in Indonesia: A Grounded Theory Study,,set: [object Object],,,
63ea67f33d22ce14fb6b3c730998697b,,,dmpt,,mUL865tJoqjU-7BryR76ydvS1rc,,,invalid: Missing value for title; Missing value for dc:identifier; Missing value for contributor_data_manager,,,
788b34169a7f481ccf559230fea69f95,,,dmpt,,admin,,,invalid: Missing value for title; Missing value for dc:identifier; Missing value for contributor_data_manager,,,
1e126b635aa3a3e67faaacd7f4581672,,,dmpt,,tlM2aeU-ic27E_ydxOZF7_bCuYc,,,invalid: Missing value for title; Missing value for dc:identifier; Missing value for contributor_data_manager,,,
,,,dmpt,,admin,,,invalid: No CI; Missing value for title; Missing value for dc:identifier; Missing value for contributor_ci; Missing value for contributor_data_manager,,,
86605afa8d8e250f0b1407c19944bf85,,,dmpt,,admin,,,invalid: Missing value for title; Missing value for dc:identifier; Missing value for contributor_data_manager,,,
,,,dmpt,,QWAtLFBM4tiRQZCz34TF3x7B6Yo,,,invalid: No CI; Missing value for title; Missing value for dc:identifier; Missing value for contributor_ci; Missing value for contributor_data_manager,,,
,,,dmpt,,FoU-8ramu_FaTRpSpEmm9VvZbpg,,,invalid: No CI; Missing value for title; Missing value for dc:identifier; Missing value for contributor_ci; Missing value for contributor_data_manager,,,
,,,dmpt,,admin,,,invalid: No CI; Missing value for title; Missing value for dc:identifier; Missing value for contributor_ci; Missing value for contributor_data_manager,,,
,,,dmpt,,admin,,,invalid: No CI; Missing value for title; Missing value for dc:identifier; Missing value for contributor_ci; Missing value for contributor_data_manager,,,
c0a37fc4b15132ba0be511f39a1e744a,,,dmpt,,YiOwfttPhHJ9kSmXukHmbquuqX8,,,invalid: Missing value for title; Missing value for dc:identifier; Missing value for contributor_data_manager,,,
6f44356c215625d645df1d6212b33c2e,,,dmpt,,admin,,,invalid: Missing value for title; Missing value for dc:identifier; Missing value for contributor_data_manager,,,
,,,dmpt,,s8bAF7vd3fIKIcxJce1QXilFr4E,,,invalid: No CI; Missing value for title; Missing value for dc:identifier; Missing value for contributor_ci; Missing value for contributor_data_manager,,,
